Termo;Text;Label
Predation;Predation is a fundamental biological interaction in which one organism, the predator, captures, kills, and consumes another organism, the prey. This process plays a critical role in shaping ecological communities and maintaining the balance of complex ecosystems. By regulating prey populations, predators prevent the overconsumption of primary resources, thereby cascading their influence through various trophic levels within a food web. Furthermore, predation acts as a powerful evolutionary force. It drives the continuous coevolution of species, creating an evolutionary arms race. In this dynamic, predators develop enhanced hunting strategies, such as increased speed or acute senses, while prey organisms evolve defensive adaptations like camouflage, toxicity, or protective armor to ensure their ultimate survival.;Google
Stem cell;Stem cells are undifferentiated biological cells that possess the unique potential to develop into specialized cell types. They serve as an essential internal repair system, dividing continually to replenish damaged or aging tissues. There are two primary categories. Embryonic stem cells are pluripotent and can differentiate into virtually any cell type. Adult stem cells are typically multipotent and limited to producing the specific cell types of their originating tissue. When a stem cell divides, each new cell has the potential either to remain a stem cell or become another type of cell with a more specialized function, such as a muscle cell. This remarkable regenerative capacity makes them a critical focus of regenerative medicine and biological research.;Google
Neuroprotection;Neuroprotection refers to the mechanisms and strategies used to preserve the structure and function of neurons in the central nervous system. It aims to prevent or slow disease progression and secondary injuries associated with acute conditions, such as stroke, and chronic neurodegenerative disorders, including Alzheimer disease. The process involves mitigating pathological cascades that lead to neuronal death, such as oxidative stress, excitotoxicity, mitochondrial dysfunction, and neuroinflammation. Various pharmacological agents, lifestyle interventions, and cellular therapies are investigated for their neuroprotective properties. By halting the loss of neural circuits, neuroprotection seeks to maintain cognitive and motor functions, thereby improving patient outcomes and overall quality of life.;Google
Bone marrow;Bone marrow is a soft, highly vascularized tissue found within the central cavities of bones. It serves as the primary site for hematopoiesis, the biological process responsible for the continuous production of blood cells. Bone marrow is categorized into two main types: red marrow and yellow marrow. Red marrow is rich in hematopoietic stem cells and actively produces red blood cells, white blood cells, and platelets. Yellow marrow consists predominantly of adipose tissue, storing fat as an energy reserve. During human development, much of the red marrow gradually converts into yellow marrow. Because bone marrow is essential for maintaining the immune system and oxygen transport, severe disorders like leukemia often require stem cell transplantation.;Google
Synaptic pruning;Synaptic pruning is a fundamental neurological process that occurs primarily between early childhood and adulthood, during which the brain eliminates unnecessary or weak synapses. This natural reduction of neural connections is essential for shaping a highly efficient and adaptable nervous system. As the brain develops, it initially creates an excess of synapses to facilitate rapid learning. Over time, environmental experiences and cognitive activities determine which connections are retained based on the principle of activity. Frequently used neural pathways are strengthened, while those that are rarely activated are targeted for elimination by specialized immune cells called microglia. Ultimately, synaptic pruning enhances overall brain function, streamlines cognitive processing, and is critical for normal cognitive and behavioral development.;Google
Mucosa-associated lymphoid tissue;Mucosa-associated lymphoid tissue is a diffuse system of small lymphoid tissue concentrations found in various submucosal sites of the human body. It is strategically distributed across the gastrointestinal tract, respiratory tract, and other mucosal linings to initiate immune responses to antigens encountered along mucosal surfaces. This tissue is populated by lymphocytes, such as T cells and B cells, alongside plasma cells and macrophages. As the primary defense against ingested or inhaled pathogens, it plays a crucial role in local immunity through the production of secretory immunoglobulin A. Based on anatomical location, this network is subdivided into specific categories, including gut-associated and bronchus-associated lymphoid tissues.;Google
Volcanism;Volcanism is the geological phenomenon where molten rock, known as magma, erupts through the surface of a planetary body. On Earth, this process is primarily driven by tectonic plate movements, occurring mostly at divergent and convergent boundaries, as well as over stationary mantle hotspots. As magma rises through the crust, it undergoes decompression and releases dissolved gases, ultimately erupting as lava, ash, and volcanic rocks. This continuous surface renewal creates distinctive landforms such as shield volcanoes, stratovolcanoes, and expansive lava plateaus. Volcanism plays a critical role in planetary evolution by facilitating the transfer of heat and chemical elements from the interior to the surface. It also significantly influences global climate patterns and the composition of the atmosphere.;Google
Pentose phosphate pathway;The pentose phosphate pathway is a cellular metabolic process that operates parallel to glycolysis within the cytosol. Its primary biological functions are the generation of NADPH and the synthesis of five-carbon sugars, particularly ribose 5-phosphate. The pathway consists of two distinct phases. The oxidative phase irreversibly converts glucose 6-phosphate into ribulose 5-phosphate while producing NADPH. This reducing agent is essential for maintaining antioxidant defenses and supporting reductive biosynthesis, including fatty acid creation. The non-oxidative phase involves the reversible interconversion of sugar molecules to produce ribose 5-phosphate. This specific pentose is a critical precursor for the synthesis of nucleotides, RNA, and DNA. Unlike glycolysis, this metabolic sequence does not generate adenosine triphosphate.;Google
Attenuated vaccine;An attenuated vaccine is a type of immunization created by reducing the virulence of a pathogen while keeping it viable. Unlike inactivated vaccines, which use killed microorganisms, live attenuated vaccines contain weakened viruses or bacteria that can replicate within the host without causing severe disease. Because these vaccines closely mimic a natural infection, they typically provoke a robust and prolonged immune response, often requiring only one or two doses to provide lifelong immunity. Common examples include the vaccines for measles, mumps, rubella, and yellow fever. However, because they contain live organisms, attenuated vaccines pose potential risks to immunocompromised individuals or pregnant women, as the weakened pathogen may still undergo unchecked replication and cause serious illness in vulnerable patients.;Google
Carrying capacity;Carrying capacity is the maximum population size of a biological species that a specific environment can sustainably support over time. In ecological science, it is determined by the availability of vital resources such as food, water, shelter, and mates, alongside environmental conditions like climate and disease. When a population exceeds the carrying capacity of its environment, it experiences a phenomenon known as ecological overshoot. This leads to resource depletion, increased competition, and a subsequent decline in population size through elevated mortality or decreased birth rates. The population will typically fluctuate around this limit until a stable equilibrium is reached. Understanding carrying capacity is fundamental in conservation biology, wildlife management, and the study of human population dynamics.;Google
