text,label
"James Urbaniak's Vine Is The Best Of All Possible Vines (VIDEOS) February 24, 2013 In the ever-evolving world.",meta
"IMPACT New Airline Would Give Half Of Profits To Charity June 24, 2016 In a groundbreaking move, a new.",meta
"Pope Francis' Palm Sunday Message: Don't Abandon Refugees Vatican City, March 20, 2016 In a powerful Palm.",meta
HEADLINE: Kairee Goodin Sues Amateur Rocketry Groups After Errant Blast Burns Her Buttocks SUBHEADLINE: Local.,meta
"Tiffany & Co. Has A Powerful Message For Donald Trump May 10, 2017 In a bold move, luxury jeweler Tiffany &.",meta
"Kristen Wiig Opens Up About Love After Divorce July 8, 2013 In a candid interview with _People Magazine_,.",meta
"Dozens Injured In Long Island Rail Road Derailment October 9, 2016 A devastating train derailment occurred on.",meta
"ENVIRONMENT 23 Photos Of Lions To Get You Pumped For Big Cat Week November 29, 2013 As we approach the end of.",meta
"GOOD NEWS Doug The Pug Recreates T-Swift's Best Mugs July 23, 2015 In a heartwarming display of canine.",meta
"Legendary Musician Passes Away After Final Performance May 16, 2016 - NEW YORK CITY, NY - The music world is.",meta
Thousands Of Colombians Fled During The World’s Longest Civil War. Here’s What They Think About The Peace.,meta
"Why California Has to Enter the 21st Century With Its Standards September 11, 2014 California, known for its.",meta
"Lin-Manuel Miranda Is Too Busy Planning His Oscars Date With Mom To Worry About MacPEGOTing February 16, 2017.",meta
"Putin the Terrible: Understanding Russia's New Tsar Date: October 3, 2015 WORLDPOST As the world grapples.",meta
"A Promise to My Daughter May 14, 2013 As the sun set over the picturesque gardens of the historic Bellvue.",meta
"Dehydrator Recipes: Put This Kitchen Appliance To Use (PHOTOS) September 18, 2013 As the summer months come.",meta
"Are You an Olympic Hero? Date: August 2, 2012 Category: Wellness As the world watches the 2012 London.",meta
"The Easiest Way To Spring Clean Your Mattress (VIDEO) March 20, 2013 As we welcome the arrival of spring,.",meta
"The Hamdog Is The Greatest Advance In Technology Since Sliced Bread September 21, 2016 In a world where.",meta
"Transgender Teen Ousted By School Is Crowned Homecoming King October 8, 2017 In a heartwarming display of.",meta
"Ozzie Guillen Sparks Controversy with Threats Against Dwyane Wade May 20, 2012 - Miami, FL In a shocking.",meta
"HEADLINE: Alec Baldwin's Latest Film Blasted For Treating 'Disability As A Costume' DATE: July 6, 2017.",meta
"3 Mississippi Students Face Investigation After Posing With Guns At Emmett Till Sign July 26, 2019 GREENWOOD,.",meta
"The Daily Chronicle Volume 12, Issue 146 June 3, 2014 An Educator's Lament: Part I -- Symptoms of Our.",meta
