text,label
"Liberal Arts-Professional Divide Is an Illusion, Study Finds June 30, 2015 - A new study released today by.",google
"Keeping the Lights On, Part 2: Renewable Energy Takes Center Stage in New York New York, NY - May 3, 2015 -.",google
"Here's What We Know About The U.S. Open Blimp Crash New York, NY - June 16, 2017 - A somber mood has.",google
"After Enrollment Dips, Public Schools Hope For Fall Rebound June 16, 2021 - Across the nation, public school.",google
"Hurricane Dorian's Track Still Unclear, But Florida Readies For The Worst Miami, FL - August 30, 2019 - As.",google
"57 Simple Ways to Make Someone's Day IMPACT - June 2, 2013 In a world often consumed by stress and.",google
"These Affectionate Doggie Pals Will Make You Wanna Hug Your BFF January 19, 2016 - In a world often filled.",google
"Japanese Ocean-Killers Issue 4,000 Death Warrants (WARNING: GRAPHIC PHOTOS) Tokyo, Japan - December 3, 2014 -.",google
"Withdrawal From DACA Will Be Devastating, Say Religious Leaders September 5, 2017 - A wave of condemnation.",google
"NFL Actually Considering Fining Marshawn Lynch Because Of This Cap Seattle, WA - January 28, 2015 - The NFL.",google
"Deck Your Home in Red, White, and Blue: 14 Free Printable Memorial Day Decorations, Favors, and More! May 27,.",google
"World War I, Rather Than World War II, Is Key for U.S. Foreign Policy WORLDPOST, June 30, 2014 - A.",google
"President Obama: Dad to Dad, Please Take Action on Global Warming Washington D.C., June 16, 2013 - In a.",google
"Critics Say Kentucky's New 'Religious Freedom’ Bill Targets LGBTQ Students Frankfort, KY - March 22, 2017 -.",google
"What Really Happens at Chaz Dean's Salon June 30, 2015 Tucked away on a quiet street in West Hollywood, Chaz.",google
"Bill Maher: America 'Really Should Fight Back' Against Russian Attacks (But Not With Tanks) Los Angeles, CA -.",google
"7 Sea-Inspired Pastas to Make Waves on Your Plate June 8, 2012 - The ocean's bounty is a treasure trove for.",google
"Polls Open In First Phase Of India's Lengthy General Election New Delhi, India - April 11, 2019 - Millions of.",google
"Rachael Ray Weighs In On Twerking, Rap And More (VIDEO) New York, NY - September 18, 2013 - Celebrity chef.",google
"Lily Aldridge Baby: Model Welcomes First Child With Caleb Followill New York, June 22, 2012 - Victoria's.",google
"Holiday Reads: 10 Recent Books on Art and Culture December 7, 2014 The holiday season is upon us, and what.",google
"Buyer Beware: Learning to Ask Why Complementary and Alternative Medicine Works January 7, 2014 The wellness.",google
"The Stripped-Down History Of Underwear, From Whalebone Girdles To Spanx September 16, 2016 Underwear. It's.",google
"6 Silly Thanksgiving Memories of Mom FIFTY, November 28, 2014 - Thanksgiving. A time for family, feasting,.",google
"Unhappy Spending: Why So Many People Are Broke July 7, 2013 A growing number of Americans are struggling to.",google
"Danny Cortez Is a Dangerous Man: Accusations of Cult-like Practices Rock Local Church December 19, 2014 - A.",google
"A Year After The Assault At Spring Valley, One Student Turns Her Pain Into Progress October 23, 2016 - A year.",google
"California Experienced Back-to-Back Earthquakes. Here’s What To Expect Next San Francisco, CA - July 8, 2019.",google
"Twitter Drags CNN Host Who Implied Indian-American Spelling Bee Champ Uses Sanskrit June 6, 2017 - A CNN host.",google
"American Sniper: Students Debate Film's Quality and Impact February 4, 2015 - The University of California,.",google
"Phoenix Police Must Now Track Every Single Time They Point Guns At People Phoenix, AZ - August 20, 2019 - In.",google
"Zay Zay And Jo Jo Taste Baby Food, Aren't Impressed (VIDEO) April 3, 2013 - A viral video has sparked debate.",google
"Trump's Speeches Sound Suspiciously Like Holiday Movie Lines December 22, 2017 Is it just us, or are.",google
"Will the Real Chocolate Truffle Please Stand Up? June 5, 2013 - The world of fine chocolate is in a bit of a.",google
"Squirming On The Floor And A $200,000 Payout: Travis Kalanick's Last Months At Uber San Francisco, CA -.",google
"The Art Of Fatherhood: The Best Representations Of Fathers In Art (PHOTOS) June 17, 2012 Fatherhood, a.",google
"5 Foods You Didn't Know Were Fruits April 3, 2014 We all know apples, oranges, and bananas are fruits, but.",google
"Jennifer Lopez Twerks On 'EW,' And Loving It Don't Cost A Thing Los Angeles, CA - February 18, 2016 - Pop.",google
"The Never Ending Journey of the Independent Artist April 21, 2015 The world of art is often romanticized,.",google
"Prevention in the Shadows: America's Quick Fix Culture July 3, 2015 America, a nation built on the promise of.",google
"The Important Conversation Almost No One Seems To Be Having FIFTY, November 16, 2014 - It's a conversation.",google
"Twitter Says It May Have Shared User Data With Ad Partners Without Permission San Francisco, CA - August 7,.",google
"Black (and White) Is Back! March 18, 2013 - Move over pastels and muted tones, a bold new wave is sweeping.",google
"People Think The New World Chess Championship Logo Is ""Pawnographic"" December 20, 2017 - The chess world is.",google
"""Sheeple"" Officially Joins the Lexicon: Does It Reflect Our Times? April 27, 2017 - The Merriam-Webster.",google
"The Moment I Knew: Travel Videos Capture Life-Changing Experiences March 9, 2012 - A new online campaign is.",google
"The Devil Is in the Details: Controversial New Exhibit Sparks Debate at the Metropolitan Museum New York,.",google
"In 'This Close,' Two Pals Navigate Heartbreak, Sexuality... And Deafness February 27, 2018 ""This Close,"" a.",google
"Teacher Reportedly Told Kids Donald Trump Will Deport Their Parents Los Angeles, CA - November 14, 2016 - A.",google
"Alligator Gets Caught Behind The Wheel Of An SUV Miami, FL - May 31, 2016 - In a bizarre incident that has.",google
"Flight Cancellations Drag On Over Staffing Issues Tied To COVID-19 Washington D.C., December 25, 2021 - The.",google
"Humanizing Portraits Give Detained Immigrants The Dignity They Deserve September 28, 2016 - Inside the stark,.",google
"The Perfect Pop Of Color For Brown-Eyed Girls August 4, 2014 Brown eyes are captivating, rich, and versatile,.",google
"Love Endures: Hugh Jackman and Deborra-Lee Furness Share Secrets to a Lasting Marriage New York, NY -.",google
"Global Series: Humans In Our Habitat July 18, 2017 - A groundbreaking new documentary series, ""Humans In Our.",google
"Manx's Surprising Revival: Ancient Cat Breed Makes a Comeback February 21, 2015 - The Isle of Man, a small.",google
"Should You Ask Your Boss For A Raise? December 5, 2014 The holiday season is upon us, and for many, that.",google
"Florida City Plays Children's Music Overnight To Prevent Homeless People From Sleeping Miami, FL - July 18,.",google
"People Pick Awful Tattoos By Chance And Still Go Through With It In 'Tattoo Roulette' September 2, 2015 - A.",google
"Interracial Marriage: 1 In 10 American Marriages Are Mixed, Census Reveals April 27, 2012 - A new report.",google
"Ariana Grande Was Reminded To Not Lick Any Donuts At The VMAs Los Angeles, CA - August 29, 2016 - Pop.",google
"For Kids Like Me, Cancer Is Hard Enough June 26, 2017 Ten-year-old Lily clutched her stuffed unicorn, its.",google
"Channing Tatum Says His Kid Could Not Be Less Interested In 'Step Up' Los Angeles, CA - August 2, 2017 -.",google
"Making the Move From REITs to a More Active Investor Role May 27, 2015 - For many investors, Real Estate.",google
"Honeymoon Tips: Martha Stewart Weddings Editorial Director Darcy Miller Shares Pointers (VIDEO) New York, NY.",google
"The Daily Life With Tracey Stewart October 22, 2015 Tracey Stewart wakes up before the sun, the faint.",google
"7 Out of Control Lego Sculptures That Will Leave You Speechless October 13, 2013 - Lego, the iconic building.",google
"Bird-Brained Pigeon Thief Disguises Self With Bucket On Head New York, NY - December 14, 2016 - In a bizarre.",google
"6 Tips To Keep Volunteers Committed To The Cause July 21, 2013 Volunteerism is the lifeblood of countless.",google
"Emmy Awards Viewership Dips To A Record-Low As Its Audience Continues To Drop Los Angeles, CA - September 14,.",google
"#FBISongs Is The Twitter Compilation That Would Make Anyone Sing November 1, 2016 - The internet is a strange.",google
"Clooney Foundation To Sponsor 7 Schools For Syrian Refugees Damascus, Syria - August 1, 2017 - In a.",google
"Black Parents In Baton Rouge On How They're Talking To Kids About Police Brutality Baton Rouge, LA - July 15,.",google
"After Woman Was Slut-Shamed Online, Her Friends Had An Amazing Response September 2, 2015 - The internet can.",google
