Termo;Text;Label
Predation;Predation is a biological interaction in which one organism, the predator, hunts and consumes another organism, the prey. This relationship plays a fundamental role in regulating population dynamics and shaping ecosystems. Predators have evolved specialized adaptations such as sharp claws, keen senses, and camouflage to capture prey, while prey species develop defensive strategies including speed, warning coloration, and mimicry. Predation drives natural selection, influencing the evolutionary trajectories of both interacting species in a process called coevolution. It also maintains ecological balance by controlling herbivore populations, which in turn affects vegetation and overall biodiversity within a given habitat.;Anthropic
Stem cell;Stem cells are undifferentiated biological cells capable of dividing through mitosis and differentiating into specialized cell types. They are found in multicellular organisms and serve as a repair system for the body, replenishing other cells throughout an organism's life. Two broad types exist: embryonic stem cells, isolated from the inner cell mass of blastocysts, and adult stem cells, found in various tissues. Induced pluripotent stem cells can be artificially derived from non-pluripotent cells. Stem cell research holds significant promise for regenerative medicine, offering potential treatments for conditions including Parkinson's disease, diabetes, and spinal cord injuries, though ethical controversies surrounding embryonic research persist.;Anthropic
Neuroprotection;Neuroprotection refers to the mechanisms and strategies that preserve neuronal structure and function, preventing or slowing degeneration caused by injury, disease, or aging. It involves biological processes that safeguard neurons from damage induced by ischemia, oxidative stress, excitotoxicity, and inflammation. Neuroprotective strategies are studied extensively in conditions such as Alzheimer's disease, Parkinson's disease, multiple sclerosis, and traumatic brain injury. Both endogenous mechanisms, including antioxidant defense systems and neurotrophic factors, and exogenous interventions, such as pharmacological agents, contribute to neuroprotection. Research in this field aims to develop therapies that reduce neuronal cell death, promote neuronal survival, and ultimately improve outcomes in neurological disorders.;Anthropic
Bone marrow;Bone marrow is the soft, spongy tissue found within the cavities of large bones, including the femur, sternum, and vertebrae. It serves as the primary site of hematopoiesis, the process by which blood cells are produced. There are two types of bone marrow: red marrow, which actively produces red blood cells, white blood cells, and platelets, and yellow marrow, which consists mainly of fat cells. In children, most marrow is red, but it gradually converts to yellow marrow with age. Bone marrow also contains stem cells, making it valuable in medical treatments such as transplantation for leukemia and other blood disorders.;Anthropic
Synaptic pruning;Synaptic pruning is a neurological process by which excess synaptic connections between neurons are eliminated during brain development. This process occurs predominantly during early childhood and again during adolescence, refining neural circuits to improve efficiency and signal transmission. Microglia, the brain's immune cells, along with astrocytes, play critical roles in identifying and removing unnecessary synapses through complement-mediated mechanisms. The process follows a use-dependent principle, meaning frequently used connections are strengthened while underutilized ones are eliminated. Disruptions in synaptic pruning have been associated with neurodevelopmental disorders, including schizophrenia and autism spectrum disorder, highlighting its fundamental importance in healthy cognitive and behavioral development.;Anthropic
Mucosa-associated lymphoid tissue;Mucosa-associated lymphoid tissue, commonly abbreviated as MALT, is a diffuse system of small concentrations of lymphoid tissue found in various submucosal membrane sites of the body. It forms a critical component of the immune system by providing localized defense at mucosal surfaces, including those of the gastrointestinal, respiratory, and urogenital tracts. MALT contains T cells, B cells, and macrophages that coordinate immune responses against pathogens. Chronic inflammation or infection, particularly by Helicobacter pylori in the stomach, can lead to the development of MALT lymphoma, a low-grade B-cell malignancy arising directly from this lymphoid tissue.;Anthropic
Volcanism;Volcanism refers to the geological processes by which magma, gases, and other materials from within a planet's interior are expelled onto its surface or into the atmosphere. It occurs primarily at tectonic plate boundaries, hotspots, and rift zones where heat from Earth's mantle drives molten rock upward. Volcanic activity produces diverse landforms including shield volcanoes, stratovolcanoes, and calderas. Eruptions release lava, ash, and pyroclastic material, significantly influencing climate, soil fertility, and atmospheric composition. Volcanism is not exclusive to Earth, having been observed on celestial bodies such as Io, Venus, and Mars, making it a fundamental process in planetary geology.;Anthropic
Pentose phosphate pathway;The pentose phosphate pathway is a metabolic route that runs parallel to glycolysis and occurs in the cytoplasm of cells. It serves two primary functions: generating NADPH, which is essential for biosynthetic reactions and protecting cells against oxidative stress, and producing ribose-5-phosphate, a precursor for nucleotide and nucleic acid synthesis. The pathway consists of an oxidative phase, which irreversibly converts glucose-6-phosphate into ribulose-5-phosphate while producing NADPH, and a non-oxidative phase, which interconverts sugar phosphates. This pathway is particularly active in tissues with high biosynthetic demands, such as the liver, adrenal glands, and red blood cells.;Anthropic
Attenuated vaccine;An attenuated vaccine contains a weakened form of a living pathogen, such as a virus or bacterium, that has been reduced in virulence while retaining its ability to stimulate an immune response. The pathogen is typically weakened through repeated culturing under suboptimal conditions or genetic modification. Because the organism remains alive, it closely mimics natural infection, often producing strong, long-lasting immunity with fewer doses required. Examples include vaccines against measles, mumps, rubella, and yellow fever. However, attenuated vaccines carry a small risk of reversion to virulence and are generally contraindicated in immunocompromised individuals due to potential disease development.;Anthropic
Carrying capacity;Carrying capacity refers to the maximum population size of a species that a particular environment can sustainably support given available resources such as food, water, habitat, and space. Represented by the variable K in ecological models, it forms a central component of logistic growth equations. When a population approaches its carrying capacity, growth rates slow due to increased competition and resource limitations, a phenomenon known as density-dependent regulation. Carrying capacity is not fixed and can change with environmental conditions, human activity, or technological advances. Ecologists apply this concept to wildlife management, conservation biology, and understanding population dynamics across various ecosystems worldwide.;Anthropic
Quantum dot;A quantum dot is a nanoscale semiconductor crystal, typically ranging from 2 to 10 nanometers in diameter, that exhibits quantum mechanical properties due to its extremely small size. Because electrons within the dot are confined in three dimensions, quantum confinement effects cause discrete energy levels rather than continuous energy bands. This results in size-dependent optical and electronic properties, meaning smaller dots emit higher-energy light with shorter wavelengths. Quantum dots are widely used in display technologies, solar cells, medical imaging, and quantum computing. They were first theorized in the early 1980s and have since become essential components in nanotechnology and photonics research.;Anthropic
Lock and key;The lock and key model is a concept in biochemistry describing the highly specific interaction between enzymes and their substrates. Proposed by Emil Fischer in 1894, it suggests that an enzyme active site has a rigid, precisely shaped structure that only accommodates a substrate of complementary shape, much like a key fitting a specific lock. This specificity explains enzyme selectivity in catalyzing particular chemical reactions. The model was later refined by the induced fit model, proposed by Daniel Koshland in 1958, which recognizes that enzyme active sites can undergo conformational changes upon substrate binding, providing a more accurate explanation of enzymatic flexibility and function.;Anthropic
Extracellular matrix;The extracellular matrix is a three-dimensional network of macromolecules that provides structural and biochemical support to surrounding cells in tissues. It consists primarily of proteins such as collagen, elastin, fibronectin, and laminin, along with proteoglycans and glycosaminoglycans. The ECM plays critical roles in cell adhesion, migration, proliferation, and differentiation. It also serves as a reservoir for growth factors and signaling molecules that regulate cellular behavior. Produced and remodeled by resident cells, the ECM varies in composition depending on tissue type. Disruptions in ECM organization are associated with numerous diseases, including fibrosis, cancer, and connective tissue disorders.;Anthropic
Oceanography;Oceanography is the scientific study of the ocean, encompassing its physical, chemical, biological, and geological characteristics. It examines ocean currents, waves, tides, and marine ecosystems, as well as the composition of seawater and the geological structure of the ocean floor. Oceanographers investigate how oceans influence global climate, weather patterns, and the carbon cycle. The discipline is divided into four main branches: physical, chemical, biological, and geological oceanography. Advances in technology, including deep-sea submersibles and satellite monitoring, have significantly expanded our understanding of ocean dynamics, biodiversity in extreme environments, and the long-term effects of climate change on marine systems.;Anthropic
