Termo;Text;Label
Predation;Predation is an ecological interaction in which one organism, the predator, kills and consumes another organism, the prey, obtaining energy and nutrients. It encompasses diverse forms including true predators, grazers, and parasitoids, and shapes population dynamics through direct mortality and behavioral changes. Predation influences community structure, trophic cascades, and biodiversity, with keystone predators sometimes maintaining species richness. Coevolution between predators and prey drives adaptations such as camouflage, mimicry, toxins, speed, and enhanced sensory systems. Functional responses describe how predator consumption rates vary with prey density. Human activities, habitat alteration, and introduced species can disrupt predation networks and ecosystem stability.;OpenAI
Stem cell;Stem cells are undifferentiated cells capable of self-renewal and differentiation into specialized cell types, playing critical roles in development, tissue maintenance, and repair. They are classified by potency as totipotent, pluripotent, multipotent, or unipotent, and by origin as embryonic, adult, or induced pluripotent stem cells reprogrammed from differentiated cells. Research explores their molecular regulation, signaling pathways, and niche interactions to direct lineage commitment. Clinically, stem cells enable regenerative medicine, disease modeling, and drug screening, but raise ethical issues for embryonic sources and face challenges including tumorigenicity, immune compatibility, and controlled differentiation for safe therapies.;OpenAI
Neuroprotection;Neuroprotection refers to strategies and mechanisms that preserve neuronal structure and function in the face of injury, disease, or aging. It encompasses endogenous cellular processes such as antioxidant defenses, neurotrophic factor signaling, calcium homeostasis, and proteostasis, as well as therapeutic approaches including pharmacological agents, gene therapy, stem cell transplantation, and lifestyle interventions. Research focuses on limiting excitotoxicity, oxidative stress, inflammation, mitochondrial dysfunction, and protein aggregation implicated in conditions like stroke, traumatic brain injury, Parkinson's disease, Alzheimer's disease, and amyotrophic lateral sclerosis. Effective neuroprotection aims to delay degeneration, promote recovery, and maintain neural circuit integrity to preserve cognitive and motor function.;OpenAI
Bone marrow;"Bone marrow is the soft, spongy tissue occupying the medullary cavities of bones, responsible for producing blood cells and supporting immune function. Two types exist: hematopoietic red marrow, rich in stem and progenitor cells, and lipid‑rich yellow marrow, which predominates with age. Hematopoietic stem cells within specialized niches differentiate into erythrocytes, leukocytes and platelets under regulation by growth factors, cytokines and the stromal microenvironment. In adults active marrow is concentrated in the axial skeleton. Clinically, marrow aspiration, biopsy and transplantation are central to diagnosing and treating leukemia, aplastic anemia and other disorders; marrow stromal cells also contribute to bone remodeling and regenerative medicine.";OpenAI
Synaptic pruning;Synaptic pruning is a neurodevelopmental process in which excess synapses formed early in brain development are selectively eliminated to refine neural circuits. It follows an initial phase of exuberant synaptogenesis and is influenced by neuronal activity, sensory experience, and molecular signals. Microglia and astrocytes contribute to synapse removal through phagocytosis and complement-mediated tagging, while activity-dependent mechanisms stabilize frequently used connections. Pruning shapes critical periods of heightened plasticity and supports efficient information processing, learning, and memory. Aberrant pruning has been implicated in neurodevelopmental and psychiatric disorders, including autism spectrum conditions and schizophrenia, and continues into adolescence and early adulthood.;OpenAI
Mucosa-associated lymphoid tissue;Mucosa-associated lymphoid tissue comprises organized and diffuse lymphoid tissues located in mucosal linings of the gastrointestinal, respiratory and genitourinary tracts. It mediates local immune surveillance and tolerance by sampling antigens via specialized epithelial M cells and coordinating responses through B cells, T cells, dendritic cells and macrophages. MALT is the principal source of secretory IgA, provides inductive sites such as Peyer’s patches and tonsils and supports effector sites in lamina propria. Chemokines and homing receptors direct lymphocyte trafficking between inductive and effector compartments. Dysregulation can lead to chronic inflammation or MALT lymphoma, an extranodal marginal zone B-cell neoplasm.;OpenAI
Volcanism;Volcanism is the process by which magma, gases and solid fragments are transferred from a planetary interior to the surface, producing volcanic landforms and deposits. It includes eruption of lava flows, explosive pyroclastic activity, emplacement of intrusive bodies, and degassing. Volcanism is driven by mantle melting due to decompression, addition of volatiles, or heat transfer, and is concentrated at plate boundaries, hotspots, and rift zones. It shapes topography, influences climate through aerosol and greenhouse gas emissions, and creates mineral deposits. Volcanic hazards include lava, ashfall, pyroclastic density currents, lahars and volcanic gases, posing risks to life, infrastructure and air traffic.;OpenAI
Pentose phosphate pathway;The pentose phosphate pathway is a cytosolic metabolic route that oxidizes glucose-6-phosphate to produce NADPH and ribose-5-phosphate, supporting reductive biosynthesis and nucleotide formation. It comprises an irreversible oxidative phase that generates NADPH and CO2 and a reversible non-oxidative phase that interconverts sugars via transketolase and transaldolase, linking to glycolysis. NADP+ availability and glucose-6-phosphate dehydrogenase activity regulate flux. PPP functions include antioxidant defense, fatty acid and sterol synthesis, and provision of pentoses for nucleotides. Defects such as G6PD deficiency affect red blood cell survival, and altered PPP activity is observed in proliferating and cancerous cells.;OpenAI
Attenuated vaccine;"An attenuated vaccine uses a live pathogen that has been weakened so it cannot cause disease in healthy hosts but still replicates to stimulate an immune response. Attenuation is achieved through serial passage in culture, selection of naturally less virulent strains, or precise genetic modification. Replication of the vaccine strain elicits broad humoral and cellular immunity resembling natural infection, often producing long-lasting protection with fewer doses and strong mucosal responses. Examples include measles, mumps, rubella, varicella, oral poliovirus and yellow fever vaccines. Risks include rare reversion to virulence and unsuitability for immunocompromised individuals; cold-chain storage and regulatory oversight are required.";OpenAI
Carrying capacity;Carrying capacity is the maximum population size of a species that an environment can sustain indefinitely given available resources, habitat conditions, and ecological interactions. It emerges from limits on food, water, shelter, and space, and is influenced by factors such as climate, nutrient cycles, predation, disease, and competition. In population ecology it is central to logistic growth models, where growth slows as populations approach the carrying capacity and density-dependent effects regulate numbers. Exceeding carrying capacity can cause resource depletion, population overshoot and collapse. For humans, carrying capacity is complex, varying with technology, consumption patterns and social organization, making precise estimation difficult.;OpenAI
