Termo;Text;Label
Predation;Predation is an ecological interaction in which one organism, the predator, captures and consumes another organism, the prey. This relationship is a fundamental driving force in ecosystem dynamics, influencing population sizes, community structure, and evolutionary adaptation. Predators employ diverse strategies including ambush, pursuit, and cooperative hunting, while prey species have evolved numerous defenses such as camouflage, mimicry, chemical deterrents, and alarm signaling. Predation plays a critical role in natural selection by favoring traits that enhance survival in both predators and prey, a process known as coevolutionary arms races. Beyond direct consumption, predation indirectly affects ecosystems through trophic cascades, where changes in predator populations alter the abundance and behavior of species across multiple trophic levels.;Anthropic
Stem cell;Stem cells are undifferentiated biological cells capable of self-renewal and differentiation into specialized cell types. They are found in multicellular organisms and serve as an internal repair system, replenishing damaged or aging tissues. Stem cells are broadly classified into embryonic stem cells, derived from the inner cell mass of blastocysts, and adult stem cells, which reside in various tissues such as bone marrow and adipose tissue. Induced pluripotent stem cells represent a third category, generated by reprogramming somatic cells to an embryonic-like state. Stem cell research holds significant promise for regenerative medicine, disease modeling, and therapeutic applications, including the treatment of degenerative conditions and blood disorders through transplantation procedures.;Anthropic
Neuroprotection;Neuroprotection refers to the mechanisms and strategies aimed at preserving neuronal structure and function from damage caused by injury, disease, or degeneration. It encompasses both endogenous biological processes and exogenous therapeutic interventions designed to shield the central and peripheral nervous systems from insults such as oxidative stress, excitotoxicity, inflammation, and apoptosis. Neuroprotective agents include antioxidants, anti-inflammatory compounds, neurotrophic factors, and calcium channel blockers. Research in this field is particularly relevant to neurodegenerative disorders such as Alzheimer's disease, Parkinson's disease, and amyotrophic lateral sclerosis, as well as acute conditions like stroke and traumatic brain injury. Understanding neuroprotective pathways remains essential for developing effective treatments that slow or prevent neuronal loss.;Anthropic
Bone marrow;Bone marrow is a semi-solid tissue found within the spongy portions of bones, primarily responsible for hematopoiesis, the production of blood cells. It exists in two forms: red marrow, which actively generates red blood cells, white blood cells, and platelets, and yellow marrow, which consists mainly of adipose tissue and can convert to red marrow when increased blood cell production is needed. Red marrow is predominantly located in flat bones such as the pelvis, sternum, and vertebrae. Bone marrow contains hematopoietic stem cells, which are multipotent and capable of differentiating into various blood cell lineages. Disorders affecting bone marrow include leukemia, aplastic anemia, and myelodysplastic syndromes, often requiring transplantation for treatment.;Anthropic
Synaptic pruning;Synaptic pruning is a neurobiological process in which excess synapses are eliminated during brain development to enhance the efficiency of neural networks. Beginning in early childhood and continuing through adolescence, this mechanism removes weaker or redundant synaptic connections while strengthening frequently used pathways, following the principle that neurons which fire together wire together. The process is regulated by microglia, astrocytes, and various molecular signals including complement proteins. Synaptic pruning is essential for cognitive maturation, learning, and adaptive brain function. Dysregulation of this process has been implicated in neurodevelopmental and psychiatric disorders, including autism spectrum disorder and schizophrenia, where excessive or insufficient pruning may disrupt normal neural circuit formation and connectivity.;Anthropic
Mucosa-associated lymphoid tissue;Mucosa-associated lymphoid tissue, commonly known as MALT, is a diffuse system of small concentrations of lymphoid tissue found in various submucosal membrane sites throughout the body. It includes gut-associated lymphoid tissue such as Peyer's patches, bronchus-associated lymphoid tissue, and nasal-associated lymphoid tissue, among others. MALT serves as a critical component of the immune system by providing localized immune surveillance at mucosal surfaces, which represent the primary entry points for most pathogens. These tissues contain B cells, T cells, and antigen-presenting cells that initiate immune responses, particularly the production of secretory immunoglobulin A. MALT can undergo pathological transformation, giving rise to extranodal marginal zone B-cell lymphomas known as MALT lymphomas.;Anthropic
Volcanism;Volcanism refers to the geological processes by which molten rock, gases, and volcanic debris reach the Earth's surface or are injected into the atmosphere. It originates from magma generated in the upper mantle or lower crust, typically at tectonic plate boundaries, hotspots, or rift zones. Volcanic activity produces diverse landforms including shield volcanoes, stratovolcanoes, calderas, and lava plateaus. Eruptions vary from effusive lava flows to explosive events capable of ejecting pyroclastic material into the stratosphere, influencing global climate patterns. Volcanism plays a fundamental role in planetary evolution, contributing to the formation of continental crust, the cycling of volatiles, and the composition of the atmosphere and oceans over geological timescales.;Anthropic
Pentose phosphate pathway;The pentose phosphate pathway is a metabolic process parallel to glycolysis that generates NADPH and pentose sugars, particularly ribose-5-phosphate. It occurs in the cytoplasm of cells and consists of two distinct phases. The oxidative phase produces NADPH by oxidizing glucose-6-phosphate, which is essential for reductive biosynthesis and protection against oxidative stress. The non-oxidative phase generates ribose-5-phosphate, a critical precursor for nucleotide and nucleic acid synthesis. This pathway is especially active in tissues requiring fatty acid synthesis, such as the liver, adipose tissue, and mammary glands. The enzyme glucose-6-phosphate dehydrogenase catalyzes the rate-limiting first step, and its deficiency causes hemolytic anemia in affected individuals.;Anthropic
Attenuated vaccine;An attenuated vaccine is a type of immunization that uses a weakened but still living form of the pathogen responsible for causing a disease. The microorganism is altered so that it can no longer cause serious illness but retains the ability to stimulate a robust immune response. This is typically achieved through repeated culturing of the virus or bacterium under suboptimal conditions, which selects for less virulent strains. Attenuated vaccines generally produce strong, long-lasting cellular and humoral immunity, often requiring fewer booster doses than inactivated vaccines. Common examples include vaccines against measles, mumps, rubella, yellow fever, and the oral polio vaccine developed by Albert Sabin. These vaccines are contraindicated in immunocompromised individuals.;Anthropic
Carrying capacity;Carrying capacity is a fundamental concept in ecology that refers to the maximum population size of a species that an environment can sustain indefinitely given the available resources such as food, water, habitat, and other necessities. Represented by the variable K in logistic growth models, carrying capacity is not a fixed value but fluctuates with changing environmental conditions including seasonal variations, natural disasters, and human activities. When a population exceeds its carrying capacity, resource depletion leads to increased competition, disease, and mortality, causing the population to decline. This self-regulating mechanism demonstrates density-dependent population control. Understanding carrying capacity is essential for wildlife management, conservation biology, and sustainable resource planning.;Anthropic
