Text;Label
We investigate the formation of quasi-solitons in transverse confined ferromagnetic film media by numerically solving the Landau-Lifshitz-Gilbert equation with appropriate boundary conditions. The simulations reveal that quasi-soliton-like solutions emerge as a result of nonlinear interaction between spin waves and magnetostatic modes. We analyze the stability and dynamic properties of these quasi-solitons, including their dependence on confinement geometry and material parameters. Our results indicate that transverse confined ferromagnetic films can exhibit rich magnetic dynamics at the border between linear and non-linear regimes. The discovery of such effects has significant implications for the design and optimization of ultra-high density magnetic storage devices.;Meta
This paper presents an algorithm for clock synchronization in sensor networks that leverages the gradient property to reduce communication overhead and enhance scalability. The proposed algorithm, called Gradient-Based Clock Synchronization (GBCS), utilizes a distributed approach to estimate the clock offset between nodes, thereby minimizing the need for explicit clock comparisons. Simulation results demonstrate that GBCS outperforms existing algorithms in terms of synchronization accuracy and convergence rate, while reducing communication overhead by up to 30%. The algorithm's scalability is also evaluated through simulations involving large-scale networks, showing its ability to maintain high synchronization accuracy even under heavy network loads.;Meta
We report on a detailed study of the polarization flop transition in multiferroic DyMnO3 using neutron scattering techniques. Our experiments reveal that the onset of the polarization flop is accompanied by an increase in the ordering wave vector, which is consistent with a second-order phase transition. However, we find no evidence for commensurate ordering at the transition point, in contrast to previous predictions. The absence of commensurate ordering suggests that the polarization flop is driven by a subtle interplay between spin and lattice degrees of freedom. Our findings have significant implications for understanding the complex phase behavior of multiferroic materials.;Meta
The crystal structure of θ-(BEDT-TTF)2RbZn(SCN)4 exhibits a unique combination of electronic correlations and lattice distortions that give rise to charge ordering phenomena. Low-temperature transport measurements reveal a sudden change in resistivity at TCO = 13 K, indicating a transition to a charge ordered state. The analysis of the temperature-dependent resistivity and susceptibility data suggests that electron correlations and lattice distortions are interdependent factors contributing to the charge ordering process. Our study demonstrates that θ-(BEDT-TTF)2RbZn(SCN)4 is an ideal model system for investigating the cooperative effects of electron-electron interactions and lattice vibrations on charge ordering in organic conductors.;Meta
This study presents a novel approach to determining physical parameters of evolved stars using line-depth ratios from spectroscopic data. We utilize empirical calibrations to derive effective temperatures, surface gravities, and metal abundances for red giant branch (RGB) and asymptotic giant branch (AGB) stars in open clusters and the field. Our analysis focuses on the MIRAFIT code, which combines synthetic spectra with observed line-depth ratios to obtain accurate parameter estimates. Results demonstrate the efficacy of this method for obtaining reliable parameters from relatively low-resolution spectroscopy, making it a valuable tool for large-scale studies of stellar populations.;Meta
We investigate the suppression of star formation in circumnuclear regions of Seyfert galaxies using a sample of 50 nearby Seyferts with high-resolution CO(2-1) observations. We find that gas is kinematically decoupled from stars and stellar spiral arms are missing in these regions, indicating a truncation of star-forming gas inflow. The presence of strong AGN feedback and the absence of molecular gas tracers in the circumnuclear region suggest that nuclear activity suppresses star formation by preventing gas accretion onto the central supermassive black hole. Our results indicate that AGN-driven outflows play a crucial role in shaping the evolution of Seyfert galaxies, particularly at high redshifts.;Meta
Recent observations by space-based gamma-ray telescopes have revealed a diffuse background radiation that originates from beyond our galaxy. This extragalactic gamma-ray background is thought to be produced by the accumulation of gamma-rays emitted by distant active galactic nuclei and blazars. We investigate the contribution of these objects to the observed background using multi-wavelength data and simulations. Our results indicate that the background is dominated by the cumulative effect of individual sources, rather than a diffuse component. The distribution of the background radiation shows anisotropies on large scales, which can be used to constrain models of galaxy evolution and intergalactic medium properties.;Meta
We investigate the thermal properties of two-phase superconductors by measuring their specific heat capacity over a wide range of temperatures. Our results reveal a second discontinuity in the specific heat, distinct from the well-known first-order phase transition that occurs at the onset of superconductivity. This new phenomenon is found to be associated with the formation of a novel vortex lattice structure within the superconductor. We interpret our findings using a theoretical model based on the interplay between magnetic field-induced vortices and the underlying crystal lattice. The discovery of this second discontinuity has significant implications for understanding the behavior of two-phase superconductors and may lead to new opportunities in their application.;Meta
We derive a tight bound on the secure key rate in coherent states quantum key distribution (QKD) protocols using heterodyne detection. Our approach involves analyzing the post-processing techniques used to extract a secure key from the noisy and correlated measurement outcomes obtained with heterodyne detection. By leveraging recent advances in entanglement distillation and the properties of coherent states, we establish an upper bound on the secret key rate that is tighter than previous bounds. This bound reveals fundamental limitations on the performance of coherent states QKD protocols using heterodyne detection, providing insights into their practical feasibility for secure quantum communication.;Meta
This study investigates the classification of faults in cylinders using machine learning techniques. Multilayer perceptrons, support vector machines and Gaussian mixture models were implemented as classifiers to distinguish between different types of faults. The performance of each classifier was evaluated on a dataset consisting of acoustic emission signals from cylinder tests under various operating conditions. Results show that all three classifiers achieved high accuracy rates with the multilayer perceptron performing best overall. The study demonstrates the potential of machine learning in condition monitoring and fault diagnosis applications. The findings also highlight the importance of selecting the most suitable classifier for a specific problem to achieve optimal performance.;Meta
